//==================================================================================================================================================================================
//-> Type 1  = Exp   - Index = monster
//-> Type 2  = Zen
//-> Type 4  = Item  - Index = item x 512
//-> Type 16 = Contribucion
//==================================================================================================================================================================================================================================================
//Num	Type	Index	Quant	Level	Opt1	Opt2	Opt3	NewOpt	MapNum	MonsterClass	MonsterLvlMin	MonsterLvlMax	DropRate	RequireIndex	RequireGroup	RequireState	DW	DK	FE	MG	DL	SU	RF 
//==================================================================================================================================================================================================================================================
0		1		3		10		0		0		0		0		0		0		0				0				-1				0			1					18				1			1	1	1	1	1	1	1
0		1		7		15		0		0		0		0		0		0		0				0				-1				0			4					18				1			1	1	0	0	0	0	0
0		1		6		15		0		0		0		0		0		0		0				0				-1				0			5					18				1			0	0	0	1	1	0	1
0		1		31		15		0		0		0		0		0		0		0				0				-1				0			6					18				1			0	0	1	0	0	0	0
0		1		419		15		0		0		0		0		0		0		0				0				-1				0			7					18				1			0	0	0	0	0	1	0
0		1		7		20		0		0		0		0		0		0		0				0				-1				0			10					18				1			1	1	0	0	0	0	0
0		1		14		20		0		0		0		0		0		0		0				0				-1				0			11					18				1			0	0	0	1	1	0	1
0		1		32		20		0		0		0		0		0		0		0				0				-1				0			12					18				1			0	0	1	0	0	0	0
0		1		420		20		0		0		0		0		0		0		0				0				-1				0			13					18				1			0	0	0	0	0	1	0
0		1		22		25		0		0		0		0		0		0		0				0				-1				0			16					18				1			0	0	0	1	1	0	1
0		1		24		25		0		0		0		0		0		0		0				0				-1				0			17					18				1			1	1	1	0	0	1	0
0		1		21		30		0		0		0		0		0		0		0				0				-1				0			20					18				1			0	0	0	1	1	0	1
0		1		22		30		0		0		0		0		0		0		0				0				-1				0			21					18				1			1	1	1	0	0	1	0
0		1		19		30		0		0		0		0		0		0		0				0				-1				0			24					18				1			0	0	0	1	1	0	1
0		1		23		30		0		0		0		0		0		0		0				0				-1				0			25					18				1			1	1	1	0	0	1	0
0		1		17		40		0		0		0		0		0		0		0				0				-1				0			28					18				1			0	0	0	1	1	0	1
0		1		12		40		0		0		0		0		0		0		0				0				-1				0			29					18				1			1	1	1	0	0	1	0
0		1		423		50		0		0		0		0		0		0		0				0				-1				0			32					18				1			0	0	0	1	1	0	1
0		1		422		50		0		0		0		0		0		0		0				0				-1				0			33					18				1			1	1	1	0	0	1	0
0		1		5		50		0		0		0		0		0		0		0				0				-1				0			36					18				1			0	0	0	1	1	0	1
0		1		17		50		0		0		0		0		0		0		0				0				-1				0			37					18				1			1	1	1	0	0	1	0
0		1		13		50		0		0		0		0		0		0		0				0				-1				0			40					18				1			0	0	0	1	1	0	1
0		1		15		50		0		0		0		0		0		0		0				0				-1				0			41					18				1			1	1	1	0	0	1	0
0		1		9		50		0		0		0		0		0		0		0				0				-1				0			44					18				1			0	0	0	1	1	0	1
0		1		5		50		0		0		0		0		0		0		0				0				-1				0			45					18				1			1	1	1	0	0	1	0
0		1		8		50		0		0		0		0		0		0		0				0				-1				0			48					18				1			0	0	0	1	1	0	1
0		1		13		50		0		0		0		0		0		0		0				0				-1				0			49					18				1			1	1	1	0	0	1	0
0		1		10		50		0		0		0		0		0		0		0				0				-1				0			52					18				1			0	0	0	1	1	0	1
0		1		9		50		0		0		0		0		0		0		0				0				-1				0			53					18				1			1	1	1	0	0	1	0
0		1		18		15		0		0		0		0		0		0		0				0				-1				0			56					18				1			0	0	0	1	1	0	1
0		1		8		50		0		0		0		0		0		0		0				0				-1				0			57					18				1			1	1	1	0	0	1	0
0		1		36		50		0		0		0		0		0		0		0				0				-1				0			60					18				1			0	0	0	1	1	0	1
0		1		25		3		0		0		0		0		0		0		0				0				-1				0			61					18				1			1	1	1	0	0	1	0
0		1		39		50		0		0		0		0		0		0		0				0				-1				0			64					18				1			0	0	0	1	1	0	1
0		1		424		50		0		0		0		0		0		0		0				0				-1				0			65					18				1			1	1	1	0	0	1	0
0		1		34		50		0		0		0		0		0		0		0				0				-1				0			68					18				1			0	0	0	1	1	0	1
0		1		425		50		0		0		0		0		0		0		0				0				-1				0			69					18				1			1	1	1	0	0	1	0
0		1		41		50		0		0		0		0		0		0		0				0				-1				0			72					18				1			0	0	0	1	1	0	1
0		1		36		50		0		0		0		0		0		0		0				0				-1				0			73					18				1			1	1	1	0	0	1	0
0		1		37		50		0		0		0		0		0		0		0				0				-1				0			76					18				1			0	0	0	1	1	0	1
0		1		34		50		0		0		0		0		0		0		0				0				-1				0			77					18				1			1	1	1	0	0	1	0
0		1		40		50		0		0		0		0		0		0		0				0				-1				0			80					18				1			0	0	0	1	1	0	1
0		1		41		50		0		0		0		0		0		0		0				0				-1				0			81					18				1			1	1	1	0	0	1	0
0		1		35		50		0		0		0		0		0		0		0				0				-1				0			84					18				1			0	0	0	1	1	0	1
0		1		37		50		0		0		0		0		0		0		0				0				-1				0			85					18				1			1	1	1	0	0	1	0
0		1		38		15		0		0		0		0		0		0		0				0				-1				0			88					18				1			0	0	0	1	1	0	1
0		1		40		50		0		0		0		0		0		0		0				0				-1				0			89					18				1			1	1	1	0	0	1	0
end
