//--------------------
// Blood Castle
//--------------------
271	"Reserved 271"
272	"Failed to teleport"
273	"You will be teleported in {} second(s)"
274	"Cannot move to this map with mounts"
275	"You can't move to this map without wings"
276	"You have received a Gift in the Cash Shop"
277	"Inventory was cleared successfully"
278	"Data/Messages (Numero 278)"
279	"You or your opponent need to have Level {} for a duel!"
280	"You entered BC Level {}"
281	"You entered DS Level {}"
282	"Reserved"
283	"Reserved"
284	"Reserved"
285	"Reserved"
286	"Reserved"
287	"You have exceeded your AccessLimit for today[{}]"
288	"Guild Create are disable on this server!"
289	"You must have {} WC-Coins to Create a guild"
290	"You must have {} WP-Coins to Create a guild"
291	"You must have {} GoblinCoins to Create a guild" 

//--------------------
//  Double Goer
//--------------------
304	"Ice Walker has been invoked!"
305	"You are too weak! Back Later!"
306	"Ice Walker were defeated"

//--------------------
// Raklion Event
//--------------------
320	"Raklion Event will close in {} minute(s)"
321	"Raklion Event has closed!"
322	"{} defeated the Selupan!"
323	"Raklion Event will open again in {} minute(s)"
324	"Raklion Event opened!"
325	"Raklion Event is closed" 

//--------------------
//  Kanturu Event.
//--------------------
336	"Refinery Tower will close in 60 minute(s)"
337	"Refinery Tower will close in 20 minute(s)"
338	"Kanturu's Gate will open in 1 minute(s)"
339	"The battle against Maya will start soon!"
340	"The next battle will start in 1 minute(s)"
341	"Nightmare has appeared!"
342	"Nightmare was defeated! The Refinery Tower is open!"
343	"Maya Won! You will be expelled from the place!"
344	"Only characters above Level {} can enter" 

//--------------------
//  Deep Castle Event
//--------------------
352	"Castle Deep Event will start in 5 minute(s)"
353	"Castle Deep Event has started!"
354	"Castle Deep Event is over!"
355	"The Erohim was defeated by {}"
356	"{} was defeated by {}" 

//--------------------
//  Crywolf Event
//--------------------
368	"Balgass joined forces with Kundun's army and plan to attack Crywolf Fortress"
369	"Army of Balgass will attack Crywolf Fortress!"
370	"Army of Balgass is marching to Crywolf Fortress"
371	"Army of Balgass is about to reach Crywolf Fortress"
372	"Without Elf on the altar, the Wolf Statue was left unprotected"
373	"Balgass survived the end of the battle."
374	"The defense failed! The Wolf Statue was taken by Balgass"
375	"The defense has been successful! The statue of the sacred wolf was protected"
376	"Connection to Altars will start in {} second(s)"
377	"The connection to Altars will start in {} minute(s)"
378	"Balgass will attack in {} second(s)"
379	"Balgass will attack in {} minute(s)"
380	"Without Elf on the altar, the Wolf Statue was left unprotected"
381	"Balgass is coming! Protect the wolf statue!"
382	"The Balgass Army is attacking the wolf statue!"
383	"The Balgass Army was defeated!"
384	"MvP Rank: {}"
385	"MvP Experience: {}"
386	"Balgass was defeated by {}!"
387	"Balgass was defeated!"
388	"Dark Elf {} was defeated by {}!"
389	"MvP Point: {}"
390	"Connected to altar {}"
391	"{} connecting to altar {}"
392	"Altar {} was connected"
393	"Connection to pedestal {} has not started yet"
394	"Altar {} has already been connected more than 2 times"
395	"The position to connect to altar {} is incorrect"
396	"{} is trying to connect to altar {}"
397	"You will be connected to the altar in 5 second(s)"
398	"Don't move until connection is complete"
399	"Connection to altar {} was canceled"
400	"The barrier of the wolf statue disappeared"
401	"Number of connections: {}, Status life: {}"
402	"The barrier of the wolf statue was created"
403	"The connection requires an Elf level {} or higher"
404	"Only Elf can connect to the pedestal" 

//--------------------
//  Castle Siege
//--------------------
416	"Castle Siege is over"
417	"The Castle Siege registration period began"
418	"Castle Siege Emblem Registration Period Began"
419	"The guild selection period at Castle Siege began"
420	"The selection of guilds for Castle Siege was concluded"
421	"The preparation period for Castle Siege began"
422	"The Castle Siege will start in {} minute(s)"
423	"The Castle Siege is being contested"
424	"The guild {} defended the Castle very well"
425	"The guild {} became the new owner of the castle"
426	"The owner of the castle was not defined"
427	"The Guardian Statue still stands!"
428	"Reserved 428"
429	"Reserved 429"
430	"Reserved 430"
431	"Reserved 431"

//--------------------
//  Guild Info
//--------------------
432	"{} position changed to Assistant Master"
433	"{} position changed to Battle Master"
434	"{} position changed to Guild Member"
435	"The guild type {} was changed to {}"
436	"The guild entered the {} alliance"
437	"The guild is now an enemy of the guild {}"
438	"The guild {} joined the alliance {}"
439	"The guild withdrew from the alliance"
440	"The guild {} withdrew from the {} alliance"
441	"The guild is no more than the {} alliance"
442	"The guild is not an enemy of the guild {}"
443	"The Alliance {} was disbanded"
444	"Reserved 444"
445	"Reserved 445"
446	"Reserved 446"
447	"Reserved 447"
448	"You cannot summon Life Stone outside of Castle Siege"
449	"Only the offensive alliance can summon Life Stone"
450	"A Life Stone has already been summoned"
451	"You cannot summon Life Stone inside the Dragon Tower"
452	"A Life Stone was successfully summoned"
453	"A Life Stone failed to be summoned"
454	"Reserved 454"
455	"Reserved 455"
456	"Reserved 456"
457	"Reserved 457"
458	"Reserved 458"
459	"Reserved 459"
460	"Reserved 460"
461	"Reserved 461"
462	"Reserved 462"
463	"Reserved 463"
464	"You cannot summon the soldier outside of Castle Siege"
465	"Only the defensive alliance can summon the soldier"
466	"Only the Guild Leader and his Assistant can summon the soldier"
467	"The maximum number of soldiers was exceeded"
468	"The soldier was successfully summoned"
469	"The soldier failed to be summoned"
470	"Reserved 470"
471	"Reserved 471"
472	"Reserved 472"
473	"Reserved 473"
474	"Reserved 474"
475	"Reserved 475"
476	"Reserved 476"
477	"Reserved 477"
478	"Reserved 478"
479	"Reserved 479"

//--------------------
//  Server Messsages 
//--------------------
480	"Server closed"
481	"The Server will automatically shut down in {} second(s)"
482	"This is a duplicate item, please contact the Server administrator"
483	"Your chat lock ended"
484	"You will exit the game in {} second (s)"
485	"Self defense against {} home"
486	"Self defense against {} ended"
487	"Server will automatically shut down in 1 minute(s)"
488	"Server will automatically shut down in 3 minute(s)"
489	"Server will automatically shut down in 5 minute(s)"
490	"The game will start automatically in 10 second(s)" 

//--------------------
//  Minning System(S8)
//--------------------
491	"{} has won {} Jewel of Bless"
492	"{} killed the Phoenix"
493	"You won {} event point(s) and {} Golds"
494	"{} killed a Golden"
494	"You won {} event point(s) and {} Golds"
496	"{} killed an Erohin"
497	"You won {} event point(s) and {} Golds"
499	"Remove the Errtel before placing" 

//--------------------
//  Rey del Mu
//--------------------
500	"[King of Mu] started"
501	"[King of Mu] ended"
502	"[King of Mu] will start in {} minute(s)"
503	"[King of Mu] Guild {} took the castle!"
504	"[King of Mu] will start in {} Second(s)"
506	"You are not a member of any guild!"
507	"Your guild already owns the castle!"
508	"You are not in the correct coordinate!"
509	"Your guild must have at least {} members!"
510	"Congratulations! Your guild now owns the castle!"
511	"There are {} minute(s) until the King of Mu! Event ends."
512	"Reserved 512"
513	"Reserved 513"
514	"Reserved 514" 

//--------------------
// Die System Monster
//--------------------
515	"{} Killed {}"
516	"{} Killed {}"
517	"Reserved 517" 

//--------------------
// Commands #2
//--------------------
518	"You do not have permission to use /setvip"
519	"Vip added successfully!"
520	"This account does not exist!" 

//--------------------
// Bot Buffer
//--------------------
521	"{} You don't need my help anymore"
522	"{} Your vip plan does not allow the use of this buff"
523	"{} Zen required: {}"
524	"{} PCPoints required: {}"
525	"{} You need to be in Vanert family"
526	"{} You need to be in Duprian family"
527	"{} You need to be in Duprian family"
528	"{} You need to be in Vanert family"
529	"{} Required family points:{}"
530	"{} Time:{} Minutes(s)"
531	"{} Discounted {} Zen"
532	"{} Discounted {} PCPoint(s)"
533	"{} Buff Applied!" 

//--------------------
// Marry Messages
//--------------------
602	"You can't marry yourself!"
603	"You just married {}!"
604	"You're already married!"
605	"The other character is already married!"
606	"Use: [/marry to XXX | /marry divorce | /marry track or trace]!"
607	"You cannot get a divorce in the first week of getting married!"
608	"You just got divorced!"
609	"You are not married!"
610	"You followed {}!"
611	"{} followed you"
612	"{} are now married {}!"
613	"{} Just Divorced {}!"
614	"Congratulations,"
615	"Between {} and {}!"
616	"[Marry] Not allowed between men"
617	"You need to have at least level {} to use this command!"
618	"He / She needs at least level {} to use this command!"
619	"Marry has been disabled!"
620	"You need at least {} zen to use this command!"
621	"You need to be in the right position in Devias2!"
622	"Your goal must stay in the correct position in Devias2!"
623	"Info: [Minimum level: {} | Track & Trace Cost: {} zen]!"
624	"You can't get divorced while he / she is offline!"
625	"The other character is offline!"
626	"Skin {} applied to {} players!"
627	"{} is not connected [Marry]" 

//--------------------
// Commands #3
//--------------------
630	"You need to be at level {} to use this command!"
631	"You can only open vault in safe zone!"
632	"Reserved 632"
633	"Command not enabled for your account!"
634	"Command: [/change race dw, dk, elf, mg, dl, su]"
635	"You must choose a different race than yours!"
636	"You must remove all your equipped items"
637	"Class not available!"
638	"Required resets: {}!"
639	"[GM] {} is Online!"
640	"{} has connected!"
641	"You do not have permission to use!"
642	"Character not found!"
643	"Command: [/award CHAR TYPE VALUE]"
644	"Award type not available!"
645	"Prize value greater than allowed!"
646	"Prize awarded successfully!"
647	"You can't reward yourself!"
648	"Command: [/reload type | Ex: / reload common]"
649	"Reload executed successfully!"
650	"Command: [/giftall VALUE TYPE]"
651	"The name must have a maximum of 10 letters."
652	"This name already exists."
653	"Please wait {} seconds to use again."
654	"This name already exists!"
655	"Name changed successfully!"
656	"Name has not been changed!"
657	"Character {} changed his name to {}!"
658	"You must leave the guild to change your name."
659	"You can't use it now." 

//--------------------
// Search Event
//--------------------
660	"[SEARCH] Started on {}!"
661	"[SEARCH] will end {} minute(s)!"
662	"[SEARCH] will end {} second(s)!"
663	"[SEARCH] Winner {}!"
664	"[SEARCH] End of event - No winner!"
665	"[SEARCH] Go to coordinates X: {} Y: {}"
666	"[SEARCH] Timed Ended!"

//--------------------
// Ban Command Text
//--------------------
667	"Character not found or offline!"
668	"Account successfully banned!"
669	"Character successfully banned!"

//--------------------
// Event Command Text
//--------------------
670	"[EVENT] Ends in {} second(s)"
671	"[EVENT] Time to enter is over!"
672	"[EVENT] Canceled!"
673	"[EVENT] {} started an event!"
674	"[EVENT] Enter /participate to enter!"
675	"[EVENT] Participant {} has entered!"

//--------------------
//  Hide & Seek
//--------------------
676	"[Hide & Seek] Ends in {} second(s)"
677	"[Hide & Seek] Finished without a winner!"
678	"[Hide & Seek] Canceled!"
679	"[Hide & Seek] {} started an event!"
680	"[Hide & Seek] Find the GM and Trade!"
681	"[Hide & Seek] {} won the event!"
682	"[Hide & Seek] Event ends in {} minute(s)!"

//--------------------
//  Run & Catch
//--------------------
683	"[Run & Catch] Closed!"
684	"[Run & Catch] Event started. Run!"
685	"[Run & Catch] Event Finished!"
686	"[Run & Catch] Canceled!"
687	"[Run & Catch] Opened!"
688	"[Run & Catch] Write /want to participate!"
689	"[Run & Catch] Participant {} has entered!"
690	"[Run & Catch] {} won the event!"
691	"[Run & Catch] {} has been caught!" 

//--------------------
// Custom Quest NPC
//--------------------
692	"[QUEST {}] You need to be level {} or higher!"
693	"[QUEST {}] You need to have {} Reset(s) or higher!"
694	"[QUEST {}] You need to have {} MasterReset(s) or higher!"
695	"[QUEST {}] You need to have {} zen or higher"
696	"[QUEST {}] You must go for {} (X {}, Y {})!"
697	"[QUEST {}] You don't have the necessary vip plan!"
698	"[QUEST {}] Required item: {}!"
699	"[QUEST {}] You must kill{}{} (Remain: {})!"

//--------------------
// Custom Quest Command
//--------------------
700	"[QUEST] Congratulations, you have completed all the missions!"
701	"Reserved 701"

//--------------------
// Gift Command
//--------------------
702	"Congratulations you have received a gift!"
703	"You have received all your gifts!" 

//--------------------
// Russian Roulette Text
//--------------------
704	"[Russian Roulette] Closed!"
705	"[Russian Roulette] Event started!"
706	"[Russian Roulette] Time out!"
707	"[Russian Roulette] Canceled!"
708	"[Russian Roulette] Opened (Max Participants:{})!"
709	"[Russian Roulette] Write /want to participate!"
710	"[Russian Roulette] Participant {}:{} has entered!"
711	"[Russian Roulette] {} won the event!"
712	"[Russian Roulette] Putting a bullet in the drum ...!"
713	"[Russian Roulette] Spinning the drum ...!"
714	"[Russian Roulette] Hitching ...!"
715	"[Russian Roulette] FIRE!"
716	"[Russian Roulette] HeadShot {} was removed!"
717	"[Russian Roulette] {} got away unscathed!"

//--------------------
// King of MU
//--------------------
718	"[King of MU] Awards ceremony!"
719	"[King of MU] The Guild {} won the event!"
720	"[King of MU] Time left:{} minute(s)!"
721	"[King of MU] All members of the online guild will win:"
722	"[King of MU] Some Coins!!"
723	"[King of MU] Characters who conquered the most:"
724	"[King of MU] Rank° {} - {} (Guild:{})!"
725	"[King of MU] They will win 10 WC each guild!"
726	"[King of MU] There was no winner!" 

//--------------------
// Penalty Texts
//--------------------
730	"You have been awarded {} WC!"
731	"You have been awarded {} WP!"
732	"You have been awarded {} GP!"

//--------------------
// Custom Top Command.
//--------------------
733	"[Top Players] /top class type | Ex: / top rr dk"
734	"[Top Players] /racechange: dk, dw, fe, mg, dl, su"
735	"[Top Players] No results!"
736	"[Top Players] Rank: {} - Set:{} ({})"
737	"[Top Players] Points redistributed"
738	"[Top Players] {} ranged up to {}!"
739	"[Top Players] You have reached rank {}!"

//--------------------
// Golden Archer.
//--------------------
740	"GoldenArcher Disabled"
741	"You need to have 64 pieces of the same type in inventory"
742	"Thank you very much, I already took the articles and handed in your prize."
743	"Sorry, I have no interest in these items."
744	"You have exchanged your articles for prizes!"

//--------------------
// Custom Quiz
//--------------------
745	"[{}] Starts in {} minute(s)!"
746	"[{}] Question: (Use / answer to answer)"
747	"[{}] {}"
748	"[{}] {} got it right!"
749	"[{}] There was no winner!"
750	"[{}] Incorrect answer!"
751	"[{}] Response: {}"

//--------------------
// Custom Pick
//--------------------
752	"[Pick {}] Activated!"
753	"[Pick {}] Disabled!"
754	"[Pick] Off!"

//--------------------
// Re Master Command.
//--------------------
755	"[ReMaster] MasterSkillTree Reset Successfully!"
756	"[ReMaster] MasterSkillTree Reset Failed."

//--------------------
// Vip Interface Messages
//--------------------
757	"[BuyVip] You don't have enough coins to buy it!"
758	"[BuyVip] plan changed to {}!"
759	"[BuyVip] The chosen plan is lower than the one you have!"

//--------------------
// Coins Remove System
//--------------------
760	"Removed {} WC!"
761	"Removed {} WP!"
762	"Removed {} GP!"

//--------------------
// Custom Attack
//--------------------
763	"You can't use custom attack with MuHelper enabled!"
764	"You can't use MuHelper with custom attack enabled!"

//--------------------
// Messages
//--------------------
765	"Max Level to use:{}"
766	"You need: {} WC!"
767	"You need: {} WP!"
768	"You need: {} GP!"

//--------------------
// Disabled
//--------------------
769	"[IT] Team 1 won."
770	"[IT] Team 2 won."

//--------------------
// PVP Command 
//--------------------
771	"[DisablePVP] Disabled"
772	"[DisablePVP] Enabled"

//--------------------
// Lock System
//--------------------
773	"[Lock] Enabled - Items Locked!"
774	"[Lock] Max password !"
775	"[Lock] Already Active, use /unlock!"
776	"[Lock] Disabled!"
777	"[Lock] Wrong Password!"
778	"[Lock] Action locked by password!"
779	"[Lock] You can activate the command in safe zone"
780	"[Lock] Personal Shop is empty or the items have no prices" 

//--------------------
// Personal Shops
//--------------------
781	"WARNING!! All Store items will be sold by Jewel of Bless"
782	"WARNING!! All Store items will be sold by Jewel of Soul"
783	"WARNING!! All Store items will be sold by Jewel of Chaos"
784	"WARNING!! All Store items will be sold by WC-Coins"
785	"WARNING!! All Store items will be sold by WP-Coins"
786	"WARNING!! All Store items will be sold by Goblin Point"
787	"You need to open the personal store before"
788	"The command will run during {} minute(s)"
789	"[Personal Store] Closed due to complete time."

//--------------------
// AttackMode
//--------------------
790	"[Attack] System Disabled"
791	"[Attack] System Disabled on this map."
792	"[Attack] You have not selected skill"
793	"[Attack] Used time: {} minute(s)"
794	"[Attack] Time Ended"
795	"[Attack] System Enabled"

//--------------------
// Offattack
//--------------------
796	"[OffAttack] Use /attack before"
797	"[OffAttack] Cannot be used here"

//--------------------
// moveguild
//--------------------
798	"[Move Guild] Doesn't Exist!"

//--------------------
// PVP Event.
//--------------------
799	"[PvP] Event Canceled!"
800	"[PvP] Event Finish."
801	"[PvP] {} x {} Started!"
802	"[PvP] {}{} x {}{}!"
803	"[PvP] {} won the event!"
804	"[PvP] Event Started!"

//--------------------
// KillKill Event
//--------------------
805	"[KillKill] Closed!"
806	"[KillKill] It started!"
807	"[KillKill] Timeout!"
808	"[KillKill] Canceled!"
809	"[KillKill] Open (Max users: {})!"
810	"[KillKill] Write /join to enter!"
811	"[KillKill] Character {}: {} joined"
812	"[KillKill] 1st -{} ({} Points)!"
813	"[KillKill] 2nd -{} ({} Points)!"
814	"[KillKill] 3rd -{} ({} Points)!"
815	"[KillKill] Your Position: {}º ({} Points)!"
816	"[KillKill] Score: {} Points!"

//--------------------
// Commands 
//--------------------
817	"New name contains rare characters!"
818	"Requires: {} master reset(s)."
819	"Max {} master to use!"
820	"Commando: [/pack (soul, bless) (10,20,30)]"
821	"Commando: [/unpack (soul, bless) (10,20,30)]"
822	"You do not have the required item(s)."
823	"Command completed successfully."
824	"Inventory Full."
825	"[TvTEvent] Closes in {} minute(s)"
826	"Team vs Team entrada"
827	"[TvTEvent] Closed!"
828	"[TvTEvent] Starts in {} minute(s)"
829	"[TvTEvent] started!"
830	"[TvTEvent] Ended!"
831	"[TvTEvent] You can't get in!"
832	"[TvTEvent] Has closed now!"
833	"[TvTEvent] You need required item to enter!"

//--------------------
// 
//--------------------
834	"Insufficient Zen"
835	"Cant Use command while you are trading"
836	"Insufficient Zen. You need to have {} of Zen"
837	"To Use this Command, need WC {} WP {} GP {}"
838	""
839	"Warehouse already loaded!"
840	"You cant use Guild Warehouse"
841	"Admin {} banned {} for {} Days"
842	"Admin {} banned account {} for {} Days"
843	"Speed Hack detected"
844	"Insufficient Zen. You need to have {} of Zen"
845	"Lacking {} WC-Coins"
846	"Lacking {} Wp-Coins"
847	"Lacking {} Goblin Points"
848	""

//--------------------
// Custom Npc Quest
//--------------------
849	"[QUEST {}] Needed WC-Coins {} to continue"
850	"[QUEST {}] Needed WP-CoinP {} to continue"
851	"[QUEST {}] Needed GP {} to continue"
852	"[QUEST {}] You don't have space to save the item"
853	"Reserved 853"
854	"You need to kill the {} monsters to complete the mission!"
855	"Mission completed!"
856	"[QUEST {}] You do not have the required Ranking patent!"
857	"[QUEST {}] You don't meet expectations"
858	"I can't help you now"
859	"Reserved 859"
860	"Come back when you are between Level {} and {}"
861	"Come back when you are between Reset {} and {}"
862	"Come back when you are between MasterReset {} and {}"
863	"Only VIP can continue"
864	"I can't help you now"
865	"When you are {} come back to me"
866	"Reserved 866"
867	"Reserved 867"
868	"Reserved 868"
869	"Come back when you are older than {} Resets."
870	"Come back when you are less than {} Resets."
871	"Come back when you are over {} MasterResets."
872	"Come back when you are less than %  MasterResets."
873	"Come back when you are above Level {}"
874	"Come back when you are below Level {}"
875	"I'm looking for {}, do you have?" 

//--------------------
// Event Rewards
//--------------------
876	"[BloodCastle] You have earned {} LevelPoints"
877	"[ChaosCastle] You have earned {} LevelPoints"
878	"[DevilSquare] You have earned {} LevelPoints"
879	"[BloodCastle] You earned {} Zen"
880	"[ChaosCastle] You earned {} Zen"
881	"[DevilSquare] You earned {} Zen"
882	"[BloodCastle] You earned WC:{} WP:{} GP:{}"
883	"[ChaosCastle] You earned WC:{} WP:{} GP:{}"
884	"[DevilSquare] You earnedWC:{} WP:{} GP:{}"

//--------------------
// Kanturu Event
//--------------------
885	"The MoonStone Ring cannot be moved during the event"
886	"You were expelled for not owning the MoonStone Ring"
887	"The MoonStone Ring cannot be dropped during the event"
888	"Reserved 888"
889	"Reserved 889"

//--------------------
// Custom Messages
//--------------------
890	"YOU EXCEED THE REQUIREMENTS TO PLAY HERE"
891	"YOU EXCEED THE REQUIREMENTS TO PLAY HERE"
892	"CustomAttack Disabled on this Map!"
893	"CustomStore Disabled on this Map!"
894	"CustomPick Disabled on this Map!"
895	"Party Disabled on this Map!"
896	"Trade Disabled on this Map!"
897	"Come back another day"
898	"You have earned {} Ruud coins" 
899	"Not enough Ruuds coins. You need {}"

//--------------------
// Right Click System
//--------------------
900	"Already have 2 hand weapons equipped"
901	"You cannot equip Double Mace/Scepter"
902	"You cannot equip Double Staff/Stick"
903	"You already have an item equipped there!"
904	"You already have an pendant equipped"
905	"You already had a ring, so we put it somewhere else."
906	"This item cannot be equipped"
907	"This item is not for your Class."
908	"You don't have space for that item"
909	"Please order your Inventory!"
910	"Lucky Items cannot be moved to the Chaos Box"
911	"Scrolls cannot move to the Chaos Box"
912	"There is no space in the chaos machine"
