//--------------------------------
//
//--------------------------------
//Access Part
	113 "WCCoin(s): {} "
	114 "WPCoin(s): {} "
	115 "GP: {}"
	116 "Requisito Zen: {}"
    117	"Auto Reset inhabilitado"
    118	"Auto Reset Habilitado"
	119 "RESERVADO"
	120 "RESERVADO"
	121 "RESERVADO"
	122 "RESERVADO"
//Party Password
	123 "No eres líder del partido"
	124 "Longitud de contraseña incorrecta"
	125 "Contraseña configurada"
	126 "No perteneces a ningún partido"
	127 "¡Ya estás dentro de la fiesta!"
	128 "¡Partido no encontrado!"
	129 "Te uniste a la fiesta"
	130 "Líder a la izquierda. Por favor, establezca una nueva contraseña"
	131 "RESERVADO"
	132 "RESERVADO"
	133 "RESERVADO"
//Lock
	134 "[Bloquear] ¡Ya activo, use /desbloquear!"
	135 "[Bloquear] Desbordamiento de contraseña máxima!"
	136 "[Bloquear] ¡Contraseña incorrecta!"
	137 "¡[Bloquear] Deshabilitado!"
	138 "[Bloquear] Habilitado - ¡Elementos bloqueados!"
	139 "[Bloquear] ¡Acción bloqueada por contraseña!"
	140 "[Bloquear] Puedes activar el comando en zona segura"
	141 "[Bloquear] La tienda personal está vacía o los artículos no tienen precio"
	142 "RESERVADO"
	143 "RESERVADO"
	144 "RESERVADO"
	145 "RESERVADO"
	146 "RESERVADO"
	147 "RESERVADO"
	148 "RESERVADO"
	149 "RESERVADO"
//Open WareHouse
	150 "¡Solo puedes abrir la bóveda en la zona segura!"
	150 "RESERVADO"
	151 "RESERVADO"
	152 "RESERVADO"
	153 "RESERVADO"
//Trace Marry
    200 "[TraceMarry] El nivel mínimo para mover es {}"
    201 "[TraceMarry] El nivel máximo para mover es {}"
    202 "[TraceMarry] Min Resets to move is {}"
    203 "[TraceMarry] Max Resets to move is {}"
    204 "[TraceMarry] El nivel VIP mínimo para moverse es {}"
    205 "[TraceMarry] PK no puede moverse allí"
    206 "[TraceMarry] Necesita {} WCCoins para moverse"
    207 "[TraceMarry] Necesita {} WPCoins para moverse"
    208 "[TraceMarry] Necesita {} GoblinPoints para moverse"
    209 "[TraceMarry] Necesita {} Zen para moverse"
    210 "[TraceMarry] {} Zen eliminado"
	211 "[Marry] El nivel minimo para divorciarse es {}"
	212 "[Marry] El nivel maximo para divorciarse es {}"
	213 "[Marry] Necesita como minimo estar en el Reset {}"
	214 "[Marry] Necesita como maximo estar en el Reset {}"
	215 "[Marry] Necesita como minimo estar en el M.Reset {}"
	216 "[Marry] Necesita como maximo estar en el M.Reset {}"
	217 "[Marry] Necesita {} WCCoins para divorciarse"
	218 "[Marry] Necesita {} WPCoins para divorciarse"
	219 "[Marry] Necesita {} GoblinPoints para divorciarse"
	220 "[Marry] Necesita {} Zen para divorciarse"
	221 "[Marry] Necesita {} Ruuds para divorciarse"
	222 "{} debe esperar {} dias para volver a casarse"
	223 "Tu debe esperar{} dias para volver a casarse"
end
