//Index   Value   Encrypt   MaxDelay   MinCount   MaxCount
0         *       0         0          0          0		// Chat Message
187       *       0         0          0          0		// 
188       *       0         0          0          0		// Jewel Mix(Lahap)
189       *       0         0          0          0		// Jewel Mix(Lahap)
190       *       0         0          0          0		// Crywolf Altar
191       *       0         0          0          0		// Ilussion Temple/Lucky Coins/DG/
192       *       0         0          0          0		// Friend List
193       *       0         0          0          0		// Friend Add
194       *       0         0          0          0		// Friend Add Awns
195       *       0         0          0          0		// Friend Delete
196       *       0         0          0          0		// Friend State
197       *       1         0          0          0		// Friend Card
198       *       0         0          0          0		// 
199       *       0         0          0          0		// Friend Card Send
200       *       0         0          0          0		// Friend Card Read
201       *       0         0          0          0		// Friend Card Lost
202       *       0         0          0          0		// Friend Chat
203       *       0         0          0          0		// Friend Chat Recv
204       *       0         0          0          0		// Move Packet OLD
205       *       0         0          0          0		// Move Packet 
206       *       0         0          0          0		// 
207       *       0         0          0          0		// 
208       *       0         0          0          0		// 3rd Quest/Helper/Santa
209       *       0         0          0          0		// Kanturu Event
210       *       0         0          0          0		// Cash Shop
211       *       0         0          0          0		// 
212       *       0         0          0          0		// 
213       *       0         0          0          0		// 
214       *       0         0          0          0		// 
215       *       0         0          0          0		// 
216       *       1         0          0          0		// 
217       *       0         0          0          0		// 
218       *       0         0          0          0		// Skill 6
219       *       1         0          0          0		// 
220       *       0         0          0          0		// 
221       *       0         0          0          0		// 
222       *       0         0          0          0		// 
223       *       0         0          0          0		// 
224       *       0         0          0          0		// 
225       *       0         0          0          0		// Guild Player Status
226       *       0         0          0          0		// Guild Player Status
227       *       0         0          0          0		// 
228       *       0         0          0          0		// 
229       *       0         0          0          0		// Guild Alliance 1
230       *       0         0          0          0		// Guild Alliance 2
231       *       0         0          0          0		// [Season8] Minimap Info
232       *       0         0          0          0		// 
233       *       0         0          0          0		// Guld Union List
234       *       0         0          0          0		// 
235       *       0         0          0          0		// Guild Alliance 1
236       0       0         0          0          0		// [Season7] Pentagram
236       1       0         0          0          0		// [Season7] Pentagram
236       2       0         0          0          0		// [Season7] Pentagram
236       3       0         0          0          0		// [Season7] Pentagram
236       49      0         0          0          0		// [Season7] Pentagram
236       51      1         0          0          0		// [Season7] Pentagram
237       *       0         0          0          0		// [Season8] GuildMatching
238       *       0         0          0          0		// [Season8] PartyMatching
239       *       0         0          0          0		// 
240       *       0         0          0          0		// 
241       *       1         0          0          0		// Server Connect
242       *       0         0          0          0		// 
243       *       *         0          0          0		// Character Info
244       *       0         0          0          0		// 
245       *       0         0          0          0		// 
246       *       0         0          0          0		// Quest Season 6(World)
247       *       0         0          0          0		// Imperial Guardian
248       *       0         0          0          0		// Gens System
249       *       0         0          0          0		// 
250       *       0         0          0          0		// 
251       *       0         0          0          0		// 
252       *       0         0          0          0		// 
253       *       0         0          0          0		// 
254       *       0         0          0          0		// 
255       *       0         0          0          0		// 
end
